"Anzahl","Einheit","Produkt"
1,"Flasche","Geschirrspülmittel"
1,"Flasche","Perwoll Wolle und Feines"
1,"Flasche","Haarwaschzeug"
1,"Flasche","Duschlotion"
1,"Tube","Zahnpasta"
1,"Flasche","Handwaschspender"
1,"Flasche","Essigreiniger"
3,"Stück","Lappen"
3,"Stück","Topfschwämme"
3,"Rolle","Toilettenpapier"
3,"Packung","Taschentücher"
1,"Flasche","W5 eco WC Reiniger"
