"Anzahl","Einheit","Produkt"
1,"Stück","Paprikamix"
1,"Stück","Romarispentomaten"
1,"Stück","Sonnenblumenmagarine"
1,"Stück","Kartoffelsalat"
1,"Stück","Bautzener Tafel-Essig"
1,"Stück","Rapsöl zum Braten"
1,"Stück","Rahmspinat"
5,"Stück","Gurke"
